Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Project management specialists,881434,16296.0,484191,12715.0,397243,10944.0,45.1,1.0,95459,1009,101467,802,88226,1894,87,1.9,2022,0.80172839744374,project management specialists,13-1082.00,Project Management Specialists,13-1082,Project Management Specialists,project management specialists
Management analysts,843716,15217.0,478995,12818.0,364721,9741.0,43.2,1.0,100415,1018,106052,1173,90607,1362,85.4,1.5,2022,0.7360914675502862,management analysts,13-1111.00,Management Analysts,13-1111,Management Analysts,management analysts
Meeting convention and event planners,108107,6266.0,26274,3376.0,81833,4784.0,75.7,2.4,60362,2240,61757,7479,60240,2108,97.5,12.1,2022,0.16515795104762973,meeting convention and event planners,13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, Convention, and Event Planners",meeting convention and event planners
Fundraisers,69452,4030.0,18839,2016.0,50613,3509.0,72.9,2.5,80245,3877,91118,6889,77105,2468,84.6,7.3,2022,0.10214875876936791,fundraisers,13-1131.00,Fundraisers,13-1131,Fundraisers,fundraisers
Market research analysts and marketing specialists,359922,10400.0,151099,7296.0,208823,8678.0,58.0,1.7,78777,2390,87080,2892,73866,2039,84.8,3.6,2022,0.4214531889533463,market research analysts and marketing specialists,13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists,market research analysts and marketing specialists
Market research analysts and marketing specialists,359922,10400.0,151099,7296.0,208823,8678.0,58.0,1.7,78777,2390,87080,2892,73866,2039,84.8,3.6,2022,0.4214531889533463,market research analysts and marketing specialists,13-1161.01,Search Marketing Strategists,13-1161,Market Research Analysts and Marketing Specialists,market research analysts and marketing specialists
Business operations specialists all other,398142,9744.0,174164,7772.0,223978,8942.0,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,business operations specialists all other,13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business Operations Specialists, All Other",business operations specialists all other
Business operations specialists all other,398142,9744.0,174164,7772.0,223978,8942.0,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,business operations specialists all other,13-1199.04,Business Continuity Planners,13-1199,"Business Operations Specialists, All Other",business operations specialists all other
Business operations specialists all other,398142,9744.0,174164,7772.0,223978,8942.0,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,business operations specialists all other,13-1199.05,Sustainability Specialists,13-1199,"Business Operations Specialists, All Other",business operations specialists all other
Business operations specialists all other,398142,9744.0,174164,7772.0,223978,8942.0,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,business operations specialists all other,13-1199.06,Online Merchants,13-1199,"Business Operations Specialists, All Other",business operations specialists all other
Business operations specialists all other,398142,9744.0,174164,7772.0,223978,8942.0,56.3,1.7,71055,1265,83974,4057,62437,1263,74.4,4,2022,0.4520394896893187,business operations specialists all other,13-1199.07,Security Management Specialists,13-1199,"Business Operations Specialists, All Other",business operations specialists all other
Accountants and auditors,1477357,22067.0,620203,14727.0,857154,16659.0,58.0,0.8,80484,610,91014,1092,74083,894,81.4,1.5,2022,1.729935336261411,accountants and auditors,13-2011.00,Accountants and Auditors,13-2011,Accountants and Auditors,accountants and auditors
Property appraisers and assessors,71885,4331.0,47403,3707.0,24482,2516.0,34.1,3.0,74566,2960,80357,4222,62466,3645,77.7,6.2,2022,0.0494103473848945,property appraisers and assessors,,,,,
Budget analysts,46344,3777.0,16899,2268.0,29445,2794.0,63.5,3.6,86190,3308,94450,4828,82126,3721,87,5.3,2022,0.05942683109011594,budget analysts,13-2031.00,Budget Analysts,13-2031,Budget Analysts,budget analysts
Credit analysts,32625,3526.0,16399,2280.0,16226,2233.0,49.7,4.4,67216,3925,71535,6288,64683,6047,90.4,10.7,2022,0.03274782683879169,credit analysts,13-2041.00,Credit Analysts,13-2041,Credit Analysts,credit analysts
Financial and investment analysts,315205,9735.0,183483,6517.0,131722,6703.0,41.8,1.4,94528,2122,102368,2177,86475,1968,84.5,2.5,2022,0.26584551009856516,financial and investment analysts,13-2051.00,Financial and Investment Analysts,13-2051,Financial and Investment Analysts,financial and investment analysts
Personal financial advisors,413396,11882.0,287413,9882.0,125983,6909.0,30.5,1.4,112886,5348,131967,6055,83251,4373,63.1,4.5,2022,0.254262878628836,personal financial advisors,13-2052.00,Personal Financial Advisors,13-2052,Personal Financial Advisors,personal financial advisors
Insurance underwriters,128162,6355.0,51085,4135.0,77077,4877.0,60.1,2.5,74709,2662,81183,1964,71420,2192,88,3.4,2022,0.15555924129505405,insurance underwriters,13-2053.00,Insurance Underwriters,13-2053,Insurance Underwriters,insurance underwriters
Financial examiners,21466,2772.0,11521,1774.0,9945,2154.0,46.3,6.7,82323,4976,96265,11316,63210,4523,65.7,9.8,2022,0.020071313811893463,financial examiners,13-2061.00,Financial Examiners,13-2061,Financial Examiners,financial examiners
Credit counselors and loan officers,350286,12610.0,166771,8462.0,183515,9143.0,52.4,1.8,74696,2210,94848,5382,62044,1338,65.4,3.9,2022,0.3703757822211794,credit counselors and loan officers,,,,,
Tax examiners and collectors and revenue agents,60965,4137.0,22196,2790.0,38769,3302.0,63.6,3.7,58679,3253,76447,9904,56072,1795,73.3,10.2,2022,0.07824482304407217,tax examiners and collectors and revenue agents,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents",tax examiners and collectors and revenue agents
Tax preparers,65064,4538.0,26768,2696.0,38296,4130.0,58.9,3.9,64212,1974,77442,8648,58976,6306,76.2,12.1,2022,0.07729019947111836,tax preparers,13-2082.00,Tax Preparers,13-2082,Tax Preparers,tax preparers
Other financial specialists,92814,5916.0,40821,3757.0,51993,3969.0,56.0,2.7,79522,4300,104766,4326,67224,4059,64.2,4.9,2022,0.10493391845367288,other financial specialists,,,,,
Computer Engineering and Science Occupations,10169079,79292.0,7585606,61264.0,2583473,32111.0,25.4,0.2,94945,349,99692,526,83152,728,83.4,0.8,2022,5.214046989195962,computer engineering and science occupations,,,,,
Computer and Mathematical Occupations,5417891,52041.0,4045406,41145.0,1372485,21550.0,25.3,0.3,100196,324,103298,469,87509,952,84.7,1,2022,2.769992673415445,computer and mathematical occupations,,,,,
Computer and information research scientists,28545,2959.0,21461,2659.0,7084,1379.0,24.8,4.4,112742,8841,106155,9370,123310,7869,(X),(X),2022,0.014297153046098873,computer and information research scientists,15-1221.00,Computer and Information Research Scientists,15-1221,Computer and Information Research Scientists,computer and information research scientists
Computer systems analysts,535886,13726.0,320955,9929.0,214931,9015.0,40.1,1.2,87856,1324,92580,1878,82464,1657,89.1,2.5,2022,0.4337805479038787,computer systems analysts,15-1211.00,Computer Systems Analysts,15-1211,Computer Systems Analysts,computer systems analysts
Computer systems analysts,535886,13726.0,320955,9929.0,214931,9015.0,40.1,1.2,87856,1324,92580,1878,82464,1657,89.1,2.5,2022,0.4337805479038787,computer systems analysts,15-1211.01,Health Informatics Specialists,15-1211,Computer Systems Analysts,computer systems analysts
Information security analysts,175555,8126.0,146013,7497.0,29542,2811.0,16.8,1.5,113090,3542,115110,4075,106640,3109,92.6,4.6,2022,0.05962259956067941,information security analysts,15-1212.00,Information Security Analysts,15-1212,Information Security Analysts,information security analysts
Computer programmers,250047,7887.0,205941,7647.0,44106,3726.0,17.6,1.4,102971,1354,104611,1504,95305,4827,91.1,4.7,2022,0.08901612538837336,computer programmers,15-1251.00,Computer Programmers,15-1251,Computer Programmers,computer programmers
Software developers,1846122,27940.0,1512175,23653.0,333947,10940.0,18.1,0.5,126647,785,129101,890,115495,2330,89.5,1.7,2022,0.6739824065902852,software developers,15-1252.00,Software Developers,15-1252,Software Developers,software developers
Software quality assurance analysts and testers,75997,4928.0,39994,3394.0,36003,3736.0,47.4,3.4,86813,3398,90429,3560,82827,3833,91.6,5.1,2022,0.07266239428553045,software quality assurance analysts and testers,15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software Quality Assurance Analysts and Testers,software quality assurance analysts and testers
Web developers,78568,5551.0,57718,5063.0,20850,2461.0,26.5,2.9,81429,2540,83108,4586,76955,4583,92.6,6.8,2022,0.04208013001286865,web developers,15-1254.00,Web Developers,15-1254,Web Developers,web developers
Web and digital interface designers,48594,3636.0,26241,2741.0,22353,2373.0,46.0,3.7,78898,4679,82317,9439,74038,6481,89.9,11.9,2022,0.04511353219077472,web and digital interface designers,15-1255.00,Web and Digital Interface Designers,15-1255,Web and Digital Interface Designers,web and digital interface designers
Web and digital interface designers,48594,3636.0,26241,2741.0,22353,2373.0,46.0,3.7,78898,4679,82317,9439,74038,6481,89.9,11.9,2022,0.04511353219077472,web and digital interface designers,15-1255.01,Video Game Designers,15-1255,Web and Digital Interface Designers,web and digital interface designers
Computer support specialists,589758,13454.0,444692,12342.0,145066,6490.0,24.6,1.0,65931,1165,66881,1375,63051,2245,94.3,3.8,2022,0.2927767933068011,computer support specialists,,,,,
Database administrators and architects,125962,5960.0,89681,5368.0,36281,3274.0,28.8,2.3,105553,1854,114609,3579,78027,5953,68.1,5.7,2022,0.07322346268570204,database administrators,15-1242.00,Database Administrators,15-1242,Database Administrators,database administrators
Database administrators and architects,125962,5960.0,89681,5368.0,36281,3274.0,28.8,2.3,105553,1854,114609,3579,78027,5953,68.1,5.7,2022,0.07322346268570204,database architects,15-1243.00,Database Architects,15-1243,Database Architects,database architects
Database administrators and architects,125962,5960.0,89681,5368.0,36281,3274.0,28.8,2.3,105553,1854,114609,3579,78027,5953,68.1,5.7,2022,0.07322346268570204,database architects,15-1243.01,Data Warehousing Specialists,15-1243,Database Architects,database architects
Network and computer systems administrators,218521,8382.0,181907,7488.0,36614,3261.0,16.8,1.3,84262,1425,85235,1674,78060,3626,91.6,4.8,2022,0.07389553382691476,network and computer systems administrators,15-1244.00,Network and Computer Systems Administrators,15-1244,Network and Computer Systems Administrators,network and computer systems administrators
Computer network architects,112961,6069.0,101784,5589.0,11177,2125.0,9.9,1.7,105262,2110,105770,1922,101285,5304,95.8,5.4,2022,0.022557775211215006,computer network architects,15-1241.00,Computer Network Architects,15-1241,Computer Network Architects,computer network architects
Computer network architects,112961,6069.0,101784,5589.0,11177,2125.0,9.9,1.7,105262,2110,105770,1922,101285,5304,95.8,5.4,2022,0.022557775211215006,computer network architects,15-1241.01,Telecommunications Engineering Specialists,15-1241,Computer Network Architects,computer network architects
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.00,"Computer Occupations, All Other",15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.01,Web Administrators,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.02,Geographic Information Systems Technologists and Technicians,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.03,Document Management Specialists,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.04,Penetration Testers,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.05,Information Security Engineers,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.06,Digital Forensics Analysts,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.07,Blockchain Engineers,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.08,Computer Systems Engineers/Architects,15-1299,"Computer Occupations, All Other",computer occupations all other
Computer occupations all other,733042,16736.0,563854,14330.0,169188,7529.0,23.1,0.9,76909,1159,78411,1533,72532,2486,92.5,3.6,2022,0.34146057729579,computer occupations all other,15-1299.09,Information Technology Project Managers,15-1299,"Computer Occupations, All Other",computer occupations all other
Actuaries,39517,3647.0,27474,2925.0,12043,1715.0,30.5,3.4,130185,5527,132140,7625,122497,15276,92.7,11.5,2022,0.024305563824699145,actuaries,15-2011.00,Actuaries,15-2011,Actuaries,actuaries
Mathematicians,3016,1125.0,2268,985.0,748,435.0,24.8,12.4,118519,10791,117257,14426,119472,49012,(X),(X),2022,0.0015096372781595083,mathematicians,15-2021.00,Mathematicians,15-2021,Mathematicians,mathematicians
Operations research analysts,178336,7484.0,89616,5187.0,88720,5485.0,49.7,2.1,90440,2317,96474,2860,84185,3959,87.3,4.9,2022,0.17905751245763582,operations research analysts,15-2031.00,Operations Research Analysts,15-2031,Operations Research Analysts,operations research analysts
Statisticians,46252,3192.0,23731,2543.0,22521,2217.0,48.7,3.8,96339,3559,97275,5504,92952,6941,95.6,9.3,2022,0.04545259510886402,statisticians,15-2041.00,Statisticians,15-2041,Statisticians,statisticians
Statisticians,46252,3192.0,23731,2543.0,22521,2217.0,48.7,3.8,96339,3559,97275,5504,92952,6941,95.6,9.3,2022,0.04545259510886402,statisticians,15-2041.01,Biostatisticians,15-2041,Statisticians,statisticians
Other mathematical science occupations,331212,12111.0,189901,8363.0,141311,8050.0,42.7,1.7,91190,1636,100182,2816,81337,1834,81.2,3,2022,0.2851983334411742,other mathematical science occupations,,,,,
Architecture and Engineering Occupations,3249897,39258.0,2733381,33777.0,516516,13492.0,15.9,0.3,95144,566,96938,626,85163,888,87.9,1,2022,1.042448941665557,architecture and engineering occupations,,,,,
Architects except landscape and naval,202070,7517.0,150719,5809.0,51351,4021.0,25.4,1.6,103384,1850,110070,3813,86431,4274,78.5,4.7,2022,0.1036382137309745,architects except landscape and naval,17-1011.00,"Architects, Except Landscape and Naval",17-1011,"Architects, Except Landscape and Naval",architects except landscape and naval
Landscape architects,24750,2528.0,17807,2389.0,6943,1385.0,28.1,5.3,80363,4923,85003,7076,68008,12705,80,16.4,2022,0.014012582382702494,landscape architects,17-1012.00,Landscape Architects,17-1012,Landscape Architects,landscape architects
Surveyors cartographers and photogrammetrists,28511,2688.0,23445,2555.0,5066,1107.0,17.8,3.7,74594,3213,75969,3476,69524,10115,(X),(X),2022,0.010224361565716671,surveyors cartographers and photogrammetrists,,,,,
Aerospace engineers,155010,7040.0,133666,6470.0,21344,2691.0,13.8,1.6,116639,3735,118953,3291,106551,3937,89.6,4.1,2022,0.04307713645058362,aerospace engineers,17-2011.00,Aerospace Engineers,17-2011,Aerospace Engineers,aerospace engineers
Agricultural engineers,4055,1126.0,4023,1126.0,32,52.0,0.8,1.3,102657,8831,102513,9015,-,**,-,**,2022,6.458341296939073e-05,agricultural engineers,17-2021.00,Agricultural Engineers,17-2021,Agricultural Engineers,agricultural engineers
Bioengineers and biomedical engineers,15553,2356.0,12542,1981.0,3011,906.0,19.4,4.8,95351,4091,94521,5845,103865,20357,(X),(X),2022,0.006076895514088609,bioengineers and biomedical engineers,17-2031.00,Bioengineers and Biomedical Engineers,17-2031,Bioengineers and Biomedical Engineers,bioengineers and biomedical engineers
Chemical engineers,82100,5546.0,66064,4749.0,16036,2228.0,19.5,2.3,113564,5014,114076,6090,112291,8965,98.4,9.5,2022,0.03236436282428593,chemical engineers,17-2041.00,Chemical Engineers,17-2041,Chemical Engineers,chemical engineers
Civil engineers,429376,13109.0,358874,11929.0,70502,4665.0,16.4,1.0,99857,1416,101084,906,92430,2421,91.4,2.5,2022,0.14228936816149956,civil engineers,17-2051.00,Civil Engineers,17-2051,Civil Engineers,civil engineers
Civil engineers,429376,13109.0,358874,11929.0,70502,4665.0,16.4,1.0,99857,1416,101084,906,92430,2421,91.4,2.5,2022,0.14228936816149956,civil engineers,17-2051.01,Transportation Engineers,17-2051,Civil Engineers,civil engineers
Civil engineers,429376,13109.0,358874,11929.0,70502,4665.0,16.4,1.0,99857,1416,101084,906,92430,2421,91.4,2.5,2022,0.14228936816149956,civil engineers,17-2051.02,Water/Wastewater Engineers,17-2051,Civil Engineers,civil engineers
Computer hardware engineers,55125,4536.0,47982,4187.0,7143,1477.0,13.0,2.5,119711,6011,120913,5127,107098,15292,(X),(X),2022,0.014416228713761187,computer hardware engineers,17-2061.00,Computer Hardware Engineers,17-2061,Computer Hardware Engineers,computer hardware engineers
Electrical and electronics engineers,253092,8849.0,232283,8232.0,20809,2194.0,8.2,0.8,111528,1839,112930,2157,103023,3187,91.2,3.3,2022,0.04199738251500162,electrical and electronics engineers,,,,,
Environmental engineers,30035,2803.0,20496,2465.0,9539,1623.0,31.8,4.7,97181,5284,102469,5863,87249,9394,85.1,10.4,2022,0.01925191175984432,environmental engineers,17-2081.00,Environmental Engineers,17-2081,Environmental Engineers,environmental engineers
Industrial engineers including health and safety,270858,10600.0,206902,9700.0,63956,4245.0,23.6,1.5,92528,1416,94349,1721,86967,1695,92.2,2.4,2022,0.12907802374594854,industrial engineers including health and safety,,,,,
Marine engineers and naval architects,12940,2178.0,12073,2232.0,867,453.0,6.7,3.7,103113,5558,104597,3912,82378,5602,(X),(X),2022,0.00174980684513943,marine engineers and naval architects,17-2121.00,Marine Engineers and Naval Architects,17-2121,Marine Engineers and Naval Architects,marine engineers and naval architects
Materials engineers,44999,3596.0,38118,3363.0,6881,1455.0,15.3,3.0,95351,3074,95850,3372,91945,9573,95.9,10.4,2022,0.013887452020074301,materials engineers,17-2131.00,Materials Engineers,17-2131,Materials Engineers,materials engineers
Mechanical engineers,327657,9176.0,297171,8448.0,30486,2788.0,9.3,0.8,97838,1981,98686,2287,93962,2314,95.2,3.5,2022,0.061527810243276436,mechanical engineers,17-2141.00,Mechanical Engineers,17-2141,Mechanical Engineers,mechanical engineers
Mechanical engineers,327657,9176.0,297171,8448.0,30486,2788.0,9.3,0.8,97838,1981,98686,2287,93962,2314,95.2,3.5,2022,0.061527810243276436,mechanical engineers,17-2141.01,Fuel Cell Engineers,17-2141,Mechanical Engineers,mechanical engineers
Mechanical engineers,327657,9176.0,297171,8448.0,30486,2788.0,9.3,0.8,97838,1981,98686,2287,93962,2314,95.2,3.5,2022,0.061527810243276436,mechanical engineers,17-2141.02,Automotive Engineers,17-2141,Mechanical Engineers,mechanical engineers
Mining and geological engineers including mining safety engineers,4728,940.0,4339,906.0,389,233.0,8.2,4.7,108090,3544,108479,2330,96420,17462,(X),(X),2022,0.000785092113909156,mining and geological engineers including mining safety engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",mining and geological engineers including mining safety engineers
Nuclear engineers,6408,1434.0,5955,1447.0,453,322.0,7.1,5.1,105055,10099,109317,12395,86993,3416,(X),(X),2022,0.0009142589398479375,nuclear engineers,17-2161.00,Nuclear Engineers,17-2161,Nuclear Engineers,nuclear engineers
Petroleum engineers,18862,2809.0,17042,2632.0,1820,685.0,9.6,3.4,160807,11254,161474,10597,153838,38002,(X),(X),2022,0.0036731816126340977,petroleum engineers,17-2171.00,Petroleum Engineers,17-2171,Petroleum Engineers,petroleum engineers
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.00,"Engineers, All Other",17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.03,"Energy Engineers, Except Wind and Solar",17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.05,Mechatronics Engineers,17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.06,Microsystems Engineers,17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.07,Photonics Engineers,17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.08,Robotics Engineers,17-2199,"Engineers, All Other",engineers all other
