Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Clinical and counseling psychologists,14269,1849,4883,1265,9386,1420,65.8,6.9,115071,8836,124647,6457,104725,10176,(X),(X),2022,0.018943122316584418,clinical and counseling psychologists,,,,19-3033,Clinical and Counseling Psychologists,clinical and counseling psychologists,19-3033,19-3033.00,Clinical and Counseling Psychologists,19-3033,Clinical and Counseling Psychologists
School psychologists,40631,3517,5377,1391,35254,3101,86.8,3,80752,2145,82558,9297,80587,2233,(X),(X),2022,0.071150739,school psychologists,,,,19-3034,School Psychologists,school psychologists,19-3034,19-3034.00,School Psychologists,19-3034,School Psychologists
Other psychologists,109751,6018,31752,3044,77999,4979,71.1,2.3,96483,2983,106467,5203,89723,5675,84.3,6.6,2022,0.15742005088123462,other psychologists,,,,19-3039,"Psychologists, All Other",other psychologists,19-3039,19-3039.00,"Psychologists, All Other",19-3039,"Psychologists, All Other"
Other psychologists,109751,6018,31752,3044,77999,4979,71.1,2.3,96483,2983,106467,5203,89723,5675,84.3,6.6,2022,0.15742005088123462,other psychologists,,,,19-3039,"Psychologists, All Other",other psychologists,19-3039,19-3039.02,Neuropsychologists,19-3039,"Psychologists, All Other"
Other psychologists,109751,6018,31752,3044,77999,4979,71.1,2.3,96483,2983,106467,5203,89723,5675,84.3,6.6,2022,0.15742005088123462,other psychologists,,,,19-3039,"Psychologists, All Other",other psychologists,19-3039,19-3039.03,Clinical Neuropsychologists,19-3039,"Psychologists, All Other"
Sociologists,3113,1284,695,494,2418,983,77.7,11,86715,10804,86983,12514,86460,17488,(X),(X),2022,0.004880084,sociologists,,,19-3040,,Sociologists,sociologists,19-3040,,,,
Sociologists,3113,1284,695,494,2418,983,77.7,11,86715,10804,86983,12514,86460,17488,(X),(X),2022,0.004880084,sociologists,,,,19-3041,Sociologists,sociologists,19-3041,19-3041.00,Sociologists,19-3041,Sociologists
Urban and regional planners,36742,3425,20347,2690,16395,2269,44.6,4.8,83800,4932,89119,8209,75641,7362,84.9,13.4,2022,0.033088908,urban and regional planners,,,19-3050,,Urban and Regional Planners,urban and regional planners,19-3050,,,,
Urban and regional planners,36742,3425,20347,2690,16395,2269,44.6,4.8,83800,4932,89119,8209,75641,7362,84.9,13.4,2022,0.033088908,urban and regional planners,,,,19-3051,Urban and Regional Planners,urban and regional planners,19-3051,19-3051.00,Urban and Regional Planners,19-3051,Urban and Regional Planners
Miscellaneous social scientists and related workers,41092,3704,20909,2772,20183,2404,49.1,4.4,90051,5895,93580,7098,85214,10107,91.1,12.6,2022,0.040733969,miscellaneous social scientists and related workers,,,19-3090,,Miscellaneous Social Scientists and Related Workers,miscellaneous social scientists and related workers,19-3090,,,,
Agricultural and food science technicians,37352,3505,24576,2718,12776,2068,34.2,4.3,53646,1539,55667,5100,48415,4731,87,11.5,2022,0.025784927628029246,agricultural and food science technicians,,,19-4010,,Agricultural and Food Science Technicians,agricultural and food science technicians,19-4010,,,,
Biological technicians,18891,2229,8815,1306,10076,1741,53.3,5.6,57468,7581,58397,11524,56593,10005,96.9,25.7,2022,0.020335702158736906,biological technicians,,,19-4020,,Biological Technicians,biological technicians,19-4020,,,,
Biological technicians,18891,2229,8815,1306,10076,1741,53.3,5.6,57468,7581,58397,11524,56593,10005,96.9,25.7,2022,0.020335702158736906,biological technicians,,,,19-4021,Biological Technicians,biological technicians,19-4021,19-4021.00,Biological Technicians,19-4021,Biological Technicians
Chemical technicians,55660,4771,36798,3864,18862,2820,33.9,4.1,59048,2206,61602,4536,55475,4056,90.1,9.7,2022,0.038067885,chemical technicians,,,19-4030,,Chemical Technicians,chemical technicians,19-4030,,,,
Chemical technicians,55660,4771,36798,3864,18862,2820,33.9,4.1,59048,2206,61602,4536,55475,4056,90.1,9.7,2022,0.038067885,chemical technicians,,,,19-4031,Chemical Technicians,chemical technicians,19-4031,19-4031.00,Chemical Technicians,19-4031,Chemical Technicians
Environmental science and geoscience technicians,15088,2467,11425,2289,3663,1120,24.3,6.9,63780,7790,70601,12012,55049,7151,(X),(X),2022,0.007392783,environmental science and geoscience technicians,,,19-4040,,Environmental Science and Geoscience Technicians,environmental science and geoscience technicians,19-4040,,,,
Nuclear technicians,3425,874,2729,779,696,351,20.3,9.1,96273,12559,96460,11666,92280,24904,(X),(X),2022,0.001404689,nuclear technicians,,,19-4050,,Nuclear Technicians,nuclear technicians,19-4050,,,,
Nuclear technicians,3425,874,2729,779,696,351,20.3,9.1,96273,12559,96460,11666,92280,24904,(X),(X),2022,0.001404689,nuclear technicians,,,,19-4051,Nuclear Technicians,nuclear technicians,19-4051,19-4051.00,Nuclear Technicians,19-4051,Nuclear Technicians
Nuclear technicians,3425,874,2729,779,696,351,20.3,9.1,96273,12559,96460,11666,92280,24904,(X),(X),2022,0.001404689,nuclear technicians,,,,19-4051,Nuclear Technicians,nuclear technicians,19-4051,19-4051.02,Nuclear Monitoring Technicians,19-4051,Nuclear Technicians
Social science research assistants,5878,1192,2636,676,3242,919,55.2,9,55355,7059,57102,11578,48654,12114,(X),(X),2022,0.006543107,social science research assistants,,,19-4060,,Social Science Research Assistants,social science research assistants,19-4060,,,,
Social science research assistants,5878,1192,2636,676,3242,919,55.2,9,55355,7059,57102,11578,48654,12114,(X),(X),2022,0.006543107,social science research assistants,,,,19-4061,Social Science Research Assistants,social science research assistants,19-4061,19-4061.00,Social Science Research Assistants,19-4061,Social Science Research Assistants
