,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
682,Clinical Research Coordinators,8.215887113255886e-05,0.008215887113255887,Operations research analysts,49.7,2.1,87.3,84185,0.3381213947642023
683,Sustainability Specialists,8.214004680941882e-05,0.008214004680941881,Other financial specialists,56.0,2.7,64.2,67224,0.2753175466484552
684,"Compensation, Benefits, and Job Analysis Specialists",8.199528113066123e-05,0.008199528113066124,Compensation benefits and job analysis specialists,72.9,3.0,87,62674,1.0
685,"Engineering Teachers, Postsecondary",8.197000594260432e-05,0.008197000594260432,Postsecondary teachers,48.1,0.8,84.8,75212,0.7535721714516509
686,Healthcare Social Workers,8.196904842696285e-05,0.008196904842696286,Healthcare social workers,80.3,2.9,102.7,56811,1.0000000000000002
687,Regulatory Affairs Managers,8.185275508334168e-05,0.008185275508334169,Sales managers,30.9,1.2,71.1,86475,0.22380904383517258
688,First-Line Supervisors of Non-Retail Sales Workers,8.174141973466115e-05,0.008174141973466114,FirstLine supervisors of retail sales workers,43.1,0.6,75.6,43654,0.6365338158061279
689,Speech-Language Pathology Assistants,8.161469142500404e-05,0.008161469142500403,Medical assistants,91.2,0.7,91.7,36930,0.2377375075114277
690,"Law Teachers, Postsecondary",8.158691518107265e-05,0.008158691518107265,Postsecondary teachers,48.1,0.8,84.8,75212,0.6973114174263435
691,Gambling Dealers,8.150025784469221e-05,0.008150025784469222,Gambling services workers,39.6,3.6,87.3,42957,0.39949909934243555
692,First-Line Supervisors of Food Preparation and Serving Workers,8.142711684118098e-05,0.008142711684118098,Firstline supervisors of food preparation and serving workers,57.7,1.8,80,31326,0.8012134664358554
693,Gambling Change Persons and Booth Cashiers,8.141312350503616e-05,0.008141312350503615,Cashiers,68.2,0.9,87,26362,0.4344184448581771
694,"Education Teachers, Postsecondary",8.11826907288566e-05,0.00811826907288566,Postsecondary teachers,48.1,0.8,84.8,75212,0.7778162989217225
695,Training and Development Specialists,8.095607960949886e-05,0.008095607960949885,Training and development specialists,53.6,2.3,86.1,64361,1.0000000000000002
696,Team Assemblers,8.087534576664852e-05,0.008087534576664852,Other assemblers and fabricators,34.6,0.9,87.6,37117,0.36204100451899257
697,"Bus Drivers, Transit and Intercity",8.081962980863034e-05,0.008081962980863033,Bus drivers transit and intercity,29.6,1.9,74.9,40121,1.0000000000000002
698,Environmental Economists,8.063546974376021e-05,0.00806354697437602,Economists,39.3,4.6,83.5,119646,0.7655315855046125
699,"Wholesale and Retail Buyers, Except Farm Products",8.056544799888217e-05,0.008056544799888217,Wholesale and retail buyers except farm products,48.7,2.2,99.3,48925,0.9999999999999998
700,Mental Health and Substance Abuse Social Workers,8.047155733922418e-05,0.008047155733922418,Mental health and substance abuse social workers,86.0,3.7,(X),63399,1.0
701,First-Line Supervisors of Office and Administrative Support Workers,8.042395440924489e-05,0.008042395440924489,FirstLine supervisors of office and administrative support workers,66.1,0.9,79.5,53106,0.7896675462367093
702,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",8.038688463181475e-05,0.008038688463181476,Mining and geological engineers including mining safety engineers,8.2,4.7,(X),96420,0.6505664925488693
703,Human Resources Managers,8.038604451517719e-05,0.008038604451517719,Human resources managers,75.3,1.5,84.3,92335,1.0000000000000002
704,Health Education Specialists,8.037451753863186e-05,0.008037451753863186,Environmental scientists and specialists including health,41.2,4.8,96.9,73856,0.45108390678343757
705,"Property, Real Estate, and Community Association Managers",8.03304698316156e-05,0.00803304698316156,Property real estate and community association managers,53.2,1.3,78.4,57521,1.0
706,Environmental Engineers,8.022255207896355e-05,0.008022255207896355,Environmental engineers,31.8,4.7,85.1,87249,1.0
707,"Recreation and Fitness Studies Teachers, Postsecondary",8.01851001990457e-05,0.008018510019904569,Postsecondary teachers,48.1,0.8,84.8,75212,0.4691589648163736
708,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8.015886579922508e-05,0.008015886579922507,Postsecondary teachers,48.1,0.8,84.8,75212,0.3861822594963191
709,"Human Resources Assistants, Except Payroll and Timekeeping",8.011217275567756e-05,0.008011217275567755,Human resources assistants except payroll and timekeeping,79.2,2.9,79.3,56287,1.0
710,Fish and Game Wardens,8.008510119453562e-05,0.008008510119453562,Fish and game wardens,9.3,5.5,(X),62990,1.0000000000000002
711,Sports Medicine Physicians,7.991044413484515e-05,0.007991044413484515,Emergency medicine physicians,26.4,5.8,(X),"250,000+",0.6492902233777331
712,Social and Community Service Managers,7.97918426469424e-05,0.007979184264694239,Social and community service managers,70.7,1.1,85.8,62101,1.0000000000000002
713,"Judges, Magistrate Judges, and Magistrates",7.969628470410944e-05,0.007969628470410944,Judges magistrates and other judicial workers,53.5,4.1,68.4,100993,0.6457782121288229
714,Veterinary Assistants and Laboratory Animal Caretakers,7.96900978363225e-05,0.00796900978363225,Veterinary assistants and laboratory animal caretakers,83.9,3.2,84.1,31684,1.0000000000000002
715,Dermatologists,7.959601967204404e-05,0.007959601967204404,Total,43.5,0.1,82,51400,0.0
716,Compensation and Benefits Managers,7.954052061981173e-05,0.007954052061981173,Compensation and benefits managers,79.4,4.1,(X),104067,1.0000000000000002
717,Police and Sheriff's Patrol Officers,7.939405961100429e-05,0.007939405961100428,Police officers,13.9,0.9,83.1,64004,0.6054470785680361
718,"Food Servers, Nonrestaurant",7.912826222038113e-05,0.007912826222038113,Food servers nonrestaurant,60.2,3.8,100.3,29753,1.0000000000000002
719,"Environmental Science Teachers, Postsecondary",7.895912351342514e-05,0.007895912351342514,Postsecondary teachers,48.1,0.8,84.8,75212,0.6197427468444543
720,"Sociology Teachers, Postsecondary",7.893096464715732e-05,0.007893096464715732,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048435
721,Video Game Designers,7.890120621588411e-05,0.007890120621588411,Other designers,39.2,1.3,86.5,70319,0.40781435154457035
722,"Family and Consumer Sciences Teachers, Postsecondary",7.880702731962639e-05,0.007880702731962638,Postsecondary teachers,48.1,0.8,84.8,75212,0.46707990089373874
723,Wind Energy Operations Managers,7.838239031630225e-05,0.007838239031630225,General and operations managers,34.0,0.7,80.9,71358,0.47446901273839803
724,First-Line Supervisors of Personal Service Workers,7.83368202421631e-05,0.00783368202421631,Supervisors of personal care and service workers,50.7,5.4,84.6,46389,0.6897049639604091
725,Compliance Managers,7.825382687621444e-05,0.007825382687621445,Compliance officers,55.2,1.5,96.1,75146,0.6747180627870847
726,"Tax Examiners and Collectors, and Revenue Agents",7.79522895770191e-05,0.00779522895770191,Tax examiners and collectors and revenue agents,63.6,3.7,73.3,56072,1.0
727,"Anthropology and Archeology Teachers, Postsecondary",7.785582137111649e-05,0.0077855821371116485,Postsecondary teachers,48.1,0.8,84.8,75212,0.5021772064533873
728,Nurse Midwives,7.771778894824507e-05,0.007771778894824507,Nurse midwives,100.0,3.5,-,127540,1.0
729,"Child, Family, and School Social Workers",7.743667518118335e-05,0.007743667518118335,Child family and school social workers,83.3,2.7,95.1,50657,1.0000000000000002
730,Dining Room and Cafeteria Attendants and Bartender Helpers,7.732235281930627e-05,0.007732235281930627,Dining room and cafeteria attendants and bartender helpers,52.1,4.3,83.5,23785,1.0
731,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",7.717159944244415e-05,0.007717159944244415,Laborers and freight stock and material movers hand,22.1,0.6,85.7,32812,0.5969025744178327
732,Emergency Management Directors,7.712162937855598e-05,0.007712162937855599,Emergency management directors,36.5,7.6,(X),75270,1.0000000000000002
733,Rehabilitation Counselors,7.706147680400074e-05,0.007706147680400074,Rehabilitation counselors,67.5,6.0,(X),56611,1.0
734,"Computer Science Teachers, Postsecondary",7.70381519639126e-05,0.007703815196391259,Postsecondary teachers,48.1,0.8,84.8,75212,0.6488930234806456
735,Database Administrators,7.701968642465184e-05,0.0077019686424651835,Database administrators and architects,28.8,2.3,68.1,78027,0.833568119530627
736,Correspondence Clerks,7.673395000585438e-05,0.0076733950005854375,Correspondence clerks,68.7,13.5,(X),41658,1.0000000000000002
737,Refuse and Recyclable Material Collectors,7.663278780672729e-05,0.0076632787806727295,Refuse and recyclable material collectors,10.3,2.3,(X),28104,1.0
738,Occupational Therapy Assistants,7.663043953368998e-05,0.007663043953368998,Occupational therapy assistants and aides,79.0,4.2,(X),41946,0.8644191490145346
739,Budget Analysts,7.662846855533635e-05,0.0076628468555336345,Budget analysts,63.5,3.6,87,82126,1.0
740,Brownfield Redevelopment Specialists and Site Managers,7.660862885609493e-05,0.007660862885609493,Sales managers,30.9,1.2,71.1,86475,0.16814993884171972
741,"Physics Teachers, Postsecondary",7.655217741732644e-05,0.007655217741732645,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048434
742,Residential Advisors,7.623707269818124e-05,0.007623707269818124,Residential advisors,57.4,5.2,95.7,35429,1.0
743,Biofuels Production Managers,7.598566083531531e-05,0.007598566083531532,Industrial production managers,23.4,1.4,89.5,81724,0.5560763051005524
744,"Umpires, Referees, and Other Sports Officials",7.566745883038333e-05,0.007566745883038333,Umpires referees and other sports officials,27.2,11.7,(X),17119,1.0000000000000002
745,Radio Frequency Identification Device Specialists,7.562526518204545e-05,0.007562526518204545,Disc jockeys except radio,7.6,6.2,(X),40802,0.21818706286415787
746,First-Line Supervisors of Gambling Services Workers,7.542796111051573e-05,0.0075427961110515725,Gambling services workers,39.6,3.6,87.3,42957,0.6723489316418974
747,"Political Science Teachers, Postsecondary",7.484885270838818e-05,0.007484885270838818,Postsecondary teachers,48.1,0.8,84.8,75212,0.5720685680057755
748,"Directors, Religious Activities and Education",7.47779468316167e-05,0.00747779468316167,Directors religious activities and education,55.5,3.3,81.5,48760,1.0
749,Lodging Managers,7.455152671735716e-05,0.007455152671735716,Lodging managers,46.8,3.0,80.1,52213,1.0
750,"Communications Teachers, Postsecondary",7.454292638444853e-05,0.007454292638444853,Postsecondary teachers,48.1,0.8,84.8,75212,0.6601431955225214
751,Set and Exhibit Designers,7.451575578522347e-05,0.0074515755785223466,Other designers,39.2,1.3,86.5,70319,0.3667632574274333
752,Veterinarians,7.450814113432657e-05,0.0074508141134326565,Veterinarians,63.1,2.8,86,115521,1.0
753,"History Teachers, Postsecondary",7.442752283892139e-05,0.007442752283892139,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048434
754,Quality Control Analysts,7.433470405190218e-05,0.007433470405190218,Software quality assurance analysts and testers,47.4,3.4,91.6,82827,0.45753554974887023
755,"Electronics Engineers, Except Computer",7.403991221249773e-05,0.007403991221249773,Electrical and electronics engineers,8.2,0.8,91.2,103023,0.5783526599896606
756,Dietitians and Nutritionists,7.331475625868339e-05,0.0073314756258683385,Dietitians and nutritionists,88.3,2.2,105.9,63446,1.0000000000000002
757,Mechatronics Engineers,7.323486913779354e-05,0.007323486913779354,Sales engineers,9.7,2.0,(X),113766,0.3154945226266798
758,Biofuels Processing Technicians,7.284440264468044e-05,0.0072844402644680435,Food processing workers all other,31.1,2.4,83.1,37864,0.3238752324958309
759,Order Clerks,7.274268567718344e-05,0.007274268567718344,Order clerks,52.7,4.1,94.8,40105,1.0000000000000002
760,"Education and Childcare Administrators, Preschool and Daycare",7.257936765382515e-05,0.007257936765382515,Education and childcare administrators,64.4,0.9,80.1,73150,0.7274252138196455
761,Dietetic Technicians,7.254277482447776e-05,0.007254277482447775,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.74062195343358
762,Sales Managers,7.247093686976513e-05,0.0072470936869765135,Sales managers,30.9,1.2,71.1,86475,1.0
763,Treasurers and Controllers,7.226600883419415e-05,0.007226600883419415,Air traffic controllers and airfield operations specialists,20.4,4.3,(X),102283,0.30798094104236257
764,"Office Machine Operators, Except Computer",7.226098747301556e-05,0.007226098747301556,Office machine operators except computer,54.6,6.7,(X),31554,1.0
765,Legal Secretaries and Administrative Assistants,7.223565262769675e-05,0.0072235652627696744,Legal secretaries and administrative assistants,95.3,1.9,(X),54249,1.0
766,Critical Care Nurses,7.213455701787797e-05,0.007213455701787798,Registered nurses,86.2,0.4,91.4,77582,0.34724342831929605
767,"Library Science Teachers, Postsecondary",7.209602143660014e-05,0.007209602143660014,Postsecondary teachers,48.1,0.8,84.8,75212,0.601071769568978
768,Fire-Prevention and Protection Engineers,7.208560671343309e-05,0.007208560671343308,Fire inspectors,10.3,3.1,(X),72702,0.3768484723396279
769,Computer User Support Specialists,7.194746177755338e-05,0.0071947461777553375,Computer support specialists,24.6,1.0,94.3,63051,0.7635706557788954
770,Regulatory Affairs Specialists,7.193130851719359e-05,0.007193130851719359,Other financial specialists,56.0,2.7,64.2,67224,0.20930660617231225
771,Photonics Engineers,7.188498378026151e-05,0.007188498378026151,Sales engineers,9.7,2.0,(X),113766,0.3154945226266798
772,"Agents and Business Managers of Artists, Performers, and Athletes",7.1692778678123e-05,0.0071692778678123,Agents and business managers of artists performers and athletes,44.9,5.5,89.1,77522,1.0000000000000002
773,Orthodontists,7.129771909298743e-05,0.007129771909298743,Total,43.5,0.1,82,51400,0.0
774,Financial Examiners,7.122745257887713e-05,0.007122745257887713,Financial examiners,46.3,6.7,65.7,63210,1.0
