,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
63,"Computer, Automated Teller, and Office Machine Repairers",0.0001762626654093873,0.017626266540938733,Computer automated teller and office machine repairers,9.2,1.7,87.1,44035,1.0
64,Weatherization Installers and Technicians,0.0001760208244638801,0.01760208244638801,Drywall installers ceiling tile installers and tapers,3.8,1.3,(X),33424,0.2837272213514176
65,Machinists,0.0001758048034431395,0.017580480344313948,Machinists,4.2,0.6,66.8,36639,1.0
66,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.0001755952999672562,0.01755952999672562,Other production equipment operators and tenders,9.7,6.0,(X),36584,0.35249791580784573
67,Shampooers,0.0001754539367154727,0.01754539367154727,Total,43.5,0.1,82,51400,0.0
68,Broadcast Technicians,0.0001753717551537095,0.01753717551537095,Broadcast sound and lighting technicians,8.6,1.8,(X),56296,0.586087409497589
69,Rail Car Repairers,0.0001753619377053233,0.01753619377053233,Other rail transportation workers,10.2,4.8,(X),82202,0.4115883818198938
70,Maids and Housekeeping Cleaners,0.0001748408663041949,0.01748408663041949,Maids and housekeeping cleaners,82.5,0.8,84.9,27215,1.0000000000000002
71,Photonics Technicians,0.0001745579908121863,0.01745579908121863,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.2627629127089599
72,Computer Numerically Controlled Tool Operators,0.0001744610775496599,0.01744610775496599,Computer numerically controlled tool operators and programmers,10.1,2.4,77.1,40620,0.8796548142153714
73,"Potters, Manufacturing",0.0001743730405220069,0.017437304052200692,Sales representatives wholesale and manufacturing,26.4,0.9,80.9,66587,0.3400401451743534
74,Mechanical Door Repairers,0.0001743533913814912,0.01743533913814912,Mechanical engineers,9.3,0.8,95.2,93962,0.4948551322019526
75,"Model Makers, Metal and Plastic",0.0001742883796531611,0.01742883796531611,Model makers and patternmakers metal and plastic,26.9,13.2,(X),35517,0.8692075026359405
76,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.0001737726460432235,0.01737726460432235,Mail clerks and mail machine operators except postal service,48.7,4.8,87.7,35025,1.0000000000000002
77,Nuclear Medicine Technologists,0.0001737511027896153,0.01737511027896153,Nuclear medicine technologists and medical dosimetrists,46.1,4.9,87.2,99444,0.7439948406403711
78,Carpenters,0.0001736091931100753,0.017360919311007528,Carpenters,1.9,0.3,69.8,32484,1.0
